year,question,answers,num_answers,source
2021,"1. Según el art. 147 de la Constitución Española, la reforma de los Estatutos de","a) En todo caso, la aprobación por las Cortes Generales, mediante Ley Ordinaria. | b) En todo caso, la aprobación por las Cortes Generales, mediante Ley Orgánica. | c) Dependiendo de lo establecido en el Estatuto, necesitará o no la",3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,2. El Consejo de la Unión Europea se pronunciará.,"a) Por mayoría simple, excepto cuando los Tratados dispongan otra cosa. | b) Por mayoría cualificada, excepto cuando los Tratados dispongan otra cosa. | c) Siempre por mayoría simple.",3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,3. En relación a la Ley Orgánica 2/1986 de 13 de marzo de las Fuerzas y,a) Deberán guardar riguroso secreto respecto de todas las informaciones | b) Deberán guardar riguroso secreto respecto de todas las informaciones | c) Deberán guardar riguroso secreto respecto de todas las informaciones,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,"4. Según del Código Penal, ¿hay tentativa de delito?:",a) Cuando el sujeto da principio a la ejecución del delito directamente por | b) Cuando el sujeto da principio a la ejecución del delito directamente por | c) Cuando el sujeto da principio a la ejecución del delito directamente por,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,5. El segundo Foro Social Mundial de realizó en:,"a) tiombay, India, del 16 al 21 de enero de 2004. | b) Porto Alegre, tirasil del 31 de enero al 05 de febrero de 2002. | c) Nairobi (Kenia) del 20 al 25 de enero de 2007.",3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,"6. Para la adquisición de la nacionalidad española por opción, carta de","a) Que el mayor de edad y capaz para prestar una declaración por sí, jure o | b) Que el mayor de catorce años y capaz para prestar una declaración por | c) Que el mayor de dieciséis años y capaz para prestar una declaración por",3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,7. ¿Cuál de los siguientes no es uno de los diecisiete objetivos de desarrollo,a) Acción por el clima. | b) Energía asequible y no contaminante. | c) Educación en el voluntariado.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,8. De acuerdo a Microsoc y respecto al funcionamiento de su S.O. Windows,a) FAT. | b) HPFS. | c) NTFS.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,"9. Presentada una moción de censura, ¿cuánto tiempo tiene que transcurrir",a) 3 días. | b) 5 días. | c) 7 días.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,10. ¿Cuál de las siguientes es una dirección IP válida para identificar una conexión a,a) 85.256.0.119. | b) 335d:1db8:85a3::8a2e:0370:7332. | c) Las dos son válidas.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,11. Cuando hablamos de un plano basado en el sistema hipodámico nos,a) Ortogonal. | b) Radiocéntrico. | c) Irregular.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,"12. El Presidente del Tribunal Constitucional, será nombrado:","a) Entre sus miembros por el Rey, a propuesta del mismo Tribunal en pleno | b) Entre sus miembros por el Rey, a propuesta del Gobierno y por un período de tres | c) Entre sus miembros por el Rey, a propuesta del Gobierno y por un período de 4 años.",3,examen-oficial-escala-basica-policia-nacional-2021.pdf
2021,13. El art. 103 de la Constitución Española establece que la Administración:,a) Está sujeta al control parlamentario. | b) Sirve con objeKvidad los intereses generales. | c) Se encuentra bajo la dependencia del Gobierno.,3,examen-oficial-escala-basica-policia-nacional-2021.pdf
